District LEA,NCES LEA ID,District Description,Agency Description,OP Status Description,Charter LEA Status,Phone Number,Mailing Address,USPS Address,Web Address
3302000,509720,Melbourne School District,Regular,Open,NOTCHR,870-368-4500,"303 School Dr
Melbourne
AR - 72556","P O Box 250
Melbourne
AR - 72556",http://bearkatz.k12.ar.us
5703000,509750,Mena School District,Regular,Open,NOTCHR,479-394-1710,"501 Hickory
Mena
AR - 71953","501 Hickory St
Mena
AR - 71953",http://mms.dmsc.k12.ar.us/mps/
3211000,500020,Midland School District,Regular,Open,NOTCHR,501-345-8844,"7249 Batesville Blvd
Pleasant Plains
AR - 72568","P O Box 630
Pleasant Plains
AR - 72568",http://midland.k12.ar.us
3104000,509780,Mineral Springs School Dist.,Regular,Open,NOTCHR,870-287-4748,"130 W Browning
Mineral Springs
AR - 71851","P O Box 189
Mineral Springs
AR - 71851",http://mssd2.k12.ar.us
2203000,509840,Monticello School District,Regular,Open,NOTCHR,870-367-4000,"935 Scogin Dr
Monticello
AR - 71655","935 Scogin Dr
Monticello
AR - 71655",http://www.billies.org
4902000,509990,Mount Ida School District,Regular,Open,NOTCHR,870-867-2323,"338 Whittington St
Mount Ida
AR - 71957","P O Box 1230
Mount Ida
AR - 71957",http://www.dmsc.k12.ar.us/~mountida/cms/
303000,500043,Mountain Home School District,Regular,Open,NOTCHR,870-425-1201,"2465 Rodeo Dr
Mountain Home
AR - 72653","2465 Rodeo Dr
Mountain Home
AR - 72653",http://bombers.k12.ar.us
2607000,510170,Mountain Pine School District,Regular,Open,NOTCHR,501-767-1540,"734 Blakely Dam Rd
Mountain Pine
AR - 71956","P O Box 1
Mountain Pine
AR - 71956",http://www-mpsd.dsc.k12.ar.us
6901000,510200,Mountain View School District,Regular,Open,NOTCHR,870-269-3443,"210 High School Dr
Mountain View
AR - 72560","210 High School Dr
Mountain  View
AR - 72560",http://mvschools.k12.ar.us
1703000,510260,Mountainburg School District,Regular,Open,NOTCHR,479-369-2121,"129 Hwy 71 Sw
Mountainburg
AR - 72946","129 Hwy 71 Sw
Mountainburg
AR - 72946",http://www.mountainburg.com
2306000,510080,Mt. Vernon/Enola School Dist.,Regular,Open,NOTCHR,501-849-2220,"38 Garland Spgs Rd
Mt Vernon
AR - 72111","P O Box 43
Mt Vernon
AR - 72111",http://mve.k12.ar.us
1704000,510290,Mulberry School District,Regular,Open,NOTCHR,479-997-1715,"203 W Fifth St
Mulberry
AR - 72947","P O Box Drawer D
Mulberry
AR - 72947",http://www.mpvschools.com
6002000,510680,N. Little Rock School District,Regular,Open,NOTCHR,501-771-8000,"2700 Poplar St
North Little Rock
AR - 72114","2700 Poplar St
North Little Rock
AR - 72114",http://www.nlrsd.org
3105000,510380,Nashville School District,Regular,Open,NOTCHR,870-845-3425,"600 N Fourth St
Nashville
AR - 71852","600 N Fourth
Nashville
AR - 71852",http://www.scrappers.k12.ar.us
1503000,510410,Nemo Vista School District,Regular,Open,NOTCHR,501-893-2925,"5690 Hwy 9
Center Ridge
AR - 72027","5690 Hwy 9
Center Ridge
AR - 72027",http://nemo.k12.ar.us
1611000,510440,Nettleton School District,Regular,Open,NOTCHR,870-910-7800,"2616 Progress Dr
Jonesboro
AR - 72401","3300 One Place
Jonesboro
AR - 72401",http://nettleton.ar.schoolwebpages.com
5008000,500030,Nevada School District,Regular,Open,NOTCHR,870-871-2418,"6580 Us Hwy 278
Rosston
AR - 71858","P O Box 50
Rosston
AR - 71858",http://www.nevadaschooldistrict.net
3403000,500023,Newport School District,Regular,Open,NOTCHR,870-523-1312,"406 Wilkerson Dr
Newport
AR - 72112","406 Wilkerson Dr
Newport
AR - 72112",http://greyhounds.k12.ar.us
304000,510560,Norfork School District,Regular,Open,NOTCHR,870-499-5228,"44 Fireball Ln
Norfork
AR - 72658","44 Fireball Ln
Norfork
AR - 72658",http://panthers.k12.ar.us
504000,510920,Omaha School District,Regular,Open,NOTCHR,870-426-3366,"522 W College
Omaha
AR - 72662","522 W College
Omaha
AR - 72662",http://omaha.oursc.k12.ar.us
4713000,510950,Osceola School District,Regular,Open,NOTCHR,870-563-2561,"2750 W Semmes
Osceola
AR - 72370","2750 W Semmes
Osceola
AR - 72370",http://www.osceola.k12.ar.us
5706000,500073,Ouachita River School District,Regular,Open,NOTCHR,479-394-2348,"143 Polk Rd 96
Mena
AR - 71953","143 Polk Rd 96
Mena
AR - 71953",http://acorn.dmsc.k12.ar.us/
3005000,510980,Ouachita School District,Regular,Open,NOTCHR,501-384-2318,"166 Schoolhouse Rd
Donaldson
AR - 71941","166 Schoolhouse Rd
Donaldson
AR - 71941",http://www.ouachita.dsc.k12.ar.us
6505000,500076,Ozark Mountain School District,Regular,Open,NOTCHR,870-439-2213,"250 S Hwy 65
St Joe
AR - 72675","P O Box 69
St Joe
AR - 72675",http://omsd.k12.ar.us
2404000,511010,Ozark School District,Regular,Open,NOTCHR,479-667-4118,"1609 Walden Dr
Ozark
AR - 72949","P O Box 135
Ozark
AR - 72949",http://ozark.k12.ar.us
6205000,500051,Palestine-Wheatley Sch. Dist.,Regular,Open,NOTCHR,870-581-2646,"7950 Hwy 70 W
Palestine
AR - 72372","P O Box 790
Palestine
AR - 72372",http://www.pwsd.k12.ar.us
7309000,511070,Pangburn School District,Regular,Open,NOTCHR,501-728-4511,"1100 Short St
Pangburn
AR - 72121","1100 Short St
Pangburn
AR - 72121",http://tigers.k12.ar.us
2808000,500017,Paragould School District,Regular,Open,NOTCHR,870-239-2105,"1501 W Court St
Paragould
AR - 72450","1501 W Court St
Paragould
AR - 72450",http://paragould.k12.ar.us
4203000,511130,Paris School District,Regular,Open,NOTCHR,479-963-3243,"602 N Tenth St
Paris
AR - 72855","602 N Tenth St
Paris
AR - 72855",http://paris.k12.ar.us
7007000,511220,Parkers Chapel School Dist.,Regular,Open,NOTCHR,870-862-4641,"401 Parkers Chapel Rd
El Dorado
AR - 71730","401 Parkers Chapel Rd
El Dorado
AR - 71730",http://parkerschapel.k12.ar.us
407000,503030,Pea Ridge School District,Regular,Open,NOTCHR,479-451-8181,"781 W Pickens Rd
Pea Ridge
AR - 72751","781 W Pickens Rd
Pea Ridge
AR - 72751",http://www.prs.k12.ar.us
5303000,511340,Perryville School District,Regular,Open,NOTCHR,501-889-2327,"614 S Fourche Ave
Perryville
AR - 72126","614 S Fourche Ave
Perryville
AR - 72126",http://mustangs.k12.ar.us
1104000,511370,Piggott School District,Regular,Open,NOTCHR,870-598-2572,"429 E Main
Piggott
AR - 72454","P O Box 387
Piggott
AR - 72454",http://piggotths.k12.ar.us
3505000,500026,Pine Bluff School District,Regular,Open,NOTCHR,870-543-4200,"512 S Pine St
Pine Bluff
AR - 71601","512 S Pine St
Pine Bluff
AR - 71601",http://www.pinebluffschools.k12.ar.us
6103000,511610,Pocahontas School District,Regular,Open,NOTCHR,870-892-4573,"2300 N  Park
Pocahontas
AR - 72455","2300 N Park
Pocahontas
AR - 72455",http://www.nesc.k12.ar.us
5804000,511700,Pottsville School District,Regular,Open,NOTCHR,479-968-8101,"7000 Sr 247
Pottsville
AR - 72858","7000 Sr 247
Pottsville
AR - 72858",http://apache.afsc.k12.ar.us
2703000,511730,Poyen School District,Regular,Open,NOTCHR,501-332-8884,"14296 Hwy 270 W
Poyen
AR - 72128","P O Box 209
Poyen
AR - 72128",http://www.poyenschool.com
7206000,511760,Prairie Grove School District,Regular,Open,NOTCHR,479-846-4213,"110 School St
Prairie Grove
AR - 72753","110 School St
Prairie Grove
AR - 72753",http://pgtigers.org
5006000,511820,Prescott School District,Regular,Open,NOTCHR,870-887-3016,"762 Martin St
Prescott
AR - 71857","762 Martin St
Prescott
AR - 71857",http://prescott.k12.ar.us
6003000,511850,Pulaski Co. Spec. School Dist.,Regular,Open,NOTCHR,501-490-2000,"925 E Dixon Rd
Little Rock
AR - 72216","P O Box 8601
Little Rock
AR - 72216",http://www.pcssd.org
1203000,511880,Quitman School District,Regular,Open,NOTCHR,501-589-3156,"6275 Heber Springs Rd W
Quitman
AR - 72131","P O Box 178
Quitman
AR - 72131",http://www.quitman.k12.ar.us
1106000,504370,Rector School District,Regular,Open,NOTCHR,870-595-3151,"604 W 5Th St
Rector
AR - 72461","P O Box 367
Rector
AR - 72461",http://rector.k12.ar.us
4706000,500045,Rivercrest School District #57,Regular,Open,NOTCHR,870-655-8633,"22 Jefferson
Wilson
AR - 72395","22 Jefferson
Wilson
AR - 72395",http://www.smccolts.com
1613000,500012,Riverside School District,Regular,Open,NOTCHR,870-237-4329,"601 Catfish Dr
Lake City
AR - 72437","P O Box 178
Lake City
AR - 72437",http://riverside.crsc.k12.ar.us
7307000,508400,Riverview School District,Regular,Open,NOTCHR,501-279-0540,"800 Raider Dr
Searcy
AR - 72143","800 Raider Dr
Searcy
AR - 72143",http://riverview.k12.ar.us
405000,511970,Rogers School District,Regular,Open,NOTCHR,479-636-3910,"500 W Walnut St
Rogers
AR - 72756","500 W Walnut St
Rogers
AR - 72756",http://www.rogers.k12.ar.us
7310000,512000,Rose Bud School District,Regular,Open,NOTCHR,501-556-5815,"124 School Rd
Rose Bud
AR - 72137","124 School Rd
Rose Bud
AR - 72137",http://rbsd.k12.ar.us
5805000,512060,Russellville School District,Regular,Open,NOTCHR,479-968-1306,"220 W 10Th St
Russellville
AR - 72801","220 W 10 St
Russellville
AR - 72801",http://rsdweb.k12.ar.us
2502000,512090,Salem School District,Regular,Open,NOTCHR,870-895-2516,"313 Hwy 62 E Suite 1
Salem
AR - 72576","313 Hwy 62E
Salem
AR - 72576",http://www.salemschools.net
4204000,512180,Scranton School District,Regular,Open,NOTCHR,479-938-7121,"103 N Tenth St
Scranton
AR - 72863","103 N Tenth St
Scranton
AR - 72863",http://www.rocketnet.k12.ar.us
6502000,509480,Searcy County School District,Regular,Open,NOTCHR,870-448-3011,"952 Hwy 65 N
Marshall
AR - 72650","P O Box 310
Marshall
AR - 72650",http://scsd.info
7311000,512210,Searcy School District,Regular,Open,NOTCHR,501-268-3517,"801 N Elm St
Searcy
AR - 72143","801 N Elm
Searcy
AR - 72143",http://www.searcyschools.org
2705000,500015,Sheridan School District,Regular,Open,NOTCHR,870-942-3135,"400 N Rock
Sheridan
AR - 72150","400 N Rock
Sheridan
AR - 72150",http://www.sheridanschools.org
7104000,512420,Shirley School District,Regular,Open,NOTCHR,501-723-8191,"154 School Dr
Shirley
AR - 72153","154 School Dr
Shirley
AR - 72153",http://shirley.k12.ar.us/
406000,512450,Siloam Springs School District,Regular,Open,NOTCHR,479-524-3191,"847 S Dogwood
Siloam Springs
AR - 72761","P O Box 798
Siloam Springs
AR - 72761",http://sssd.k12.ar.us/public/
3806000,512480,Sloan-Hendrix School Dist.,Regular,Open,NOTCHR,870-869-2384,"1 Greyhound Cir
Imboden
AR - 72434","P O Box 1080
Imboden
AR - 72434",http://shsd.k12.ar.us
7008000,512510,Smackover School District,Regular,Open,NOTCHR,870-725-3132,"112 E 8Th St
Smackover
AR - 71762","P O Box 109
Smackover
AR - 71762",http://smackover.k12.ar.us
1507000,512520,So. Conway Co. School District,Regular,Open,NOTCHR,501-354-9400,"704 E Church
Morrilton
AR - 72110","704 E Church Steet
Morrilton
AR - 72110",http://sccsd.org
5504000,510320,South Pike County School District,Regular,Open,NOTCHR,870-379-2214,"605 3Rd Ave
Murfreesboro
AR - 71958","605 3Rd Ave
Delight
AR - 71958",http://mboro.k12.ar.us/
7105000,512570,South Side School District,Regular,Open,NOTCHR,501-654-2633,"334 Southside Rd
Bee Branch
AR - 72013","334 Southside Rd
Bee Branch
AR - 72013",http://ssbb.k12.ar.us
3209000,512540,Southside School District,Regular,Open,NOTCHR,870-251-2341,"70 Scott Dr
Batesville
AR - 72501","70 Scott Dr
Batesville
AR - 72501",http://southside.k12.ar.us/
2906000,512630,Spring Hill School District,Regular,Open,NOTCHR,870-777-8236,"633 Hwy 355 W
Hope
AR - 71801","633 Hwy 355 W
Hope
AR - 71801",http://springhill.k12.ar.us
7207000,512660,Springdale School District,Regular,Open,NOTCHR,479-750-8800,"804 W Johnson Ave
Springdale
AR - 72764","P O Box 8
Springdale
AR - 72765",http://www.springdaleschools.org
4003000,500028,Star City School District,Regular,Open,NOTCHR,870-628-4237,"206 Cleveland St
Star City
AR - 71667","206 Cleveland St
Star City
AR - 71667",http://www.starcityschools.com
7009000,512930,Strong-Huttig School District,Regular,Open,NOTCHR,870-797-7322,"108 E 5Th St
Strong
AR - 71765","P O Box 735
Strong
AR - 71765",http://stronghuttig.k12.ar.us
104000,512960,Stuttgart School District,Regular,Open,NOTCHR,870-673-3561,"2501 S Main
Stuttgart
AR - 72160","2501 S Main
Stuttgart
AR - 72160",http://www.stuttgartschools.org
4605000,513110,Texarkana School District,Regular,Open,NOTCHR,870-772-3371,"3512 Grand Ave
Texarkana
AR - 71854","3512 Grand Ave
Texarkana
AR - 71854",http://txk.k12.ar.us
5605000,500047,Trumann School District,Regular,Open,NOTCHR,870-483-6444,"221 Pine Ave
Trumann
AR - 72472","221 Pine Ave
Trumann
AR - 72472",http://wildcat.crsc.k12.ar.us
7510000,500079,Two Rivers School District,Regular,Open,NOTCHR,479-272-3113,"600 Main St
Plainview
AR - 72857","P O Box 187
Plainview
AR - 72857",http://tworivers.k12.ar.us
505000,513350,Valley Springs School District,Regular,Open,NOTCHR,870-429-5217,"7349 School St
Valley Springs
AR - 72682","P O Box 640
Valley Springs
AR - 72682",http://valley.k12.ar.us
1612000,513380,Valley View School District,Regular,Open,NOTCHR,870-935-6200,"2131 Valley View Dr
Jonesboro
AR - 72404","2131 Valley View Dr
Jonesboro
AR - 72404",http://blazers.k12.ar.us/
1705000,513410,Van Buren School District,Regular,Open,NOTCHR,479-474-7942,"2221 Pointer Trail E
Van Buren
AR - 72956","2221 Pointer Trail
Van Buren
AR - 72956",http://www.vbsd.us
2307000,513530,Vilonia School District,Regular,Open,NOTCHR,501-796-2113,"11 Eagle St
Vilonia
AR - 72173","P O Box 160
Vilonia
AR - 72173",http://vilonia.k12.ar.us
2503000,513560,Viola School District,Regular,Open,NOTCHR,870-458-2323,"314 Longhorn Dr
Viola
AR - 72583","P O Box 380
Viola
AR - 72583",http://violaschool.k12.ar.us
6401000,513680,Waldron School District,Regular,Open,NOTCHR,479-637-3179,"1560 W Sixth St
Waldron
AR - 72958","1560 W Sixth St
Waldron
AR - 72958",http://waldron.k12.ar.us
602000,500006,Warren School District,Regular,Open,NOTCHR,870-226-6738,"408 Cherry
Warren
AR - 71671","P O Box 1210
Warren
AR - 71671",http://se.sesc.k12.ar.us/warren/
3509000,513930,Watson Chapel School District,Regular,Open,NOTCHR,870-879-0220,"4100 Camden Rd
Pine Bluff
AR - 71603","4100 Camden Rd
Pine Bluff
AR - 71603",http://watson2.arsc.k12.ar.us
7208000,514010,West Fork School District,Regular,Open,NOTCHR,479-839-2231,"359 School Ave
West Fork
AR - 72774","359 School Ave
West Fork
AR - 72774",http://www.westforkschools.org
1803000,508040,West Memphis School District,Regular,Open,NOTCHR,870-735-1915,"301 S Avalon
West Memphis
AR - 72301","301 S Avalon
West Memphis
AR - 72303",http://west.grsc.k12.ar.us
1204000,514040,West Side School District,Regular,Open,NOTCHR,501-825-6258,"7295 Greers Ferry Rd
Greers Ferry
AR - 72067","7295 Greers Ferry Rd
Greers Ferry
AR - 72067",http://westside.afsc.k12.ar.us
7509000,500041,Western Yell Co. School Dist.,Regular,Open,NOTCHR,479-476-4116,"1 Wolverine Dr
Havana
AR - 72842","P O Box 214
Havana
AR - 72842",http://wolverines.k12.ar.us
1602000,504020,Westside Cons. School District,Regular,Open,NOTCHR,870-935-7503,"1630 Hwy 91 W
Jonesboro
AR - 72404","1630 Hwy 91 W
Jonesboro
AR - 72404",http://www.westsideschools.org
3606000,514020,Westside School District,Regular,Open,NOTCHR,479-497-1991,"122 Thompson St
Hartman
AR - 72840","122 Thompson St
Hartman
AR - 72840",http://westsiderebels.net
7304000,504170,White Co. Central School Dist.,Regular,Open,NOTCHR,501-729-3992,"3259 Hwy 157
Judsonia
AR - 72081","3259 Hwy 157
Judsonia
AR - 72081",http://whitecountycentral.k12.ar.us
3510000,514140,White Hall School District,Regular,Open,NOTCHR,870-247-2002,"1020 W Holland Ave
White Hall
AR - 71602","1020 W Holland Ave
White Hall
AR - 71602",http://www.whitehallsd.org
1505000,514370,Wonderview School District,Regular,Open,NOTCHR,501-354-0211,"2436 Hwy 95
Hattieville
AR - 72063","2436 Hwy 95
Hattieville
AR - 72063",http://wonder.k12.ar.us
1304000,514400,Woodlawn School District,Regular,Open,NOTCHR,870-357-8108,"6760 Hwy 63
Rison
AR - 71665","6760 Hwy 63
Rison
AR - 71665",http://bears.k12.ar.us
1905000,514430,Wynne School District,Regular,Open,NOTCHR,870-238-5000,"1300 N Falls Blvd
Wynne
AR - 72396","P O Box 69
Wynne
AR - 72396",http://wynne.k12.ar.us
4502000,514490,Yellville-Summit School Dist.,Regular,Open,NOTCHR,870-449-4061,"1124 N Panther Ave
Yellville
AR - 72687","1124 N Panther Ave
Yellville
AR - 72687",http://yspanthers.k12.ar.us
